# Enoch SJ, Cronin MT.
# A review of the electrophilic reaction chemistry involved in covalent DNA binding.
# Critical reviews in toxicology, 2010
"Acyl halide","Mechanistic alert: Direct addition of an acyl halide","[CH,$(C(=O)[#6])](=O)[F,Cl,Br,I]"
"Alkyl carbamyl halides","Mechanistic alert: Direct addition of an acyl halide","[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)[F,Cl,Br,I]"
"Isocyanates","Mechanistic alert: Isocyanates and isothiocyanates","[NH,$(N(=C=O)[#6])]=C=O"
"Isothiocyanates","Mechanistic alert: Isocyanates and isothiocyanates","[NH,$(N(=C=[SX1])[#6])]=C=[SX1]"
"Thiazolidinediones","Mechanistic alert: P450 mediated activation to isocyanates or isothiocyanates","C1C(=O)[NH]C(=O)S1"
"Formamides","Mechanistic alert: P450 mediated activation to isocyanates or isothiocyanates","[NH2,$([NH]([CH]=O)[#6]),$(N([CH]=O)([#6])[#6])][CH](=O)"
"Sulfonylureas","Mechanistic alert: P450 mediated activation to isocyanates or isothiocyanates","[#6]S(=O)(=O)[NH]C(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Thioureas_AC","Mechanistic alert: P450 mediated activation to isocyanates or isothiocyanates","c[NH]C(=O)[NH]c"
"Benzylamines","Mechanistic alert: P450 mediated activation to isocyanates or isothiocyanates","c1ccccc1[CX4][NH2]"
"1,1-Dihaloalkanes","Mechanistic alert: P450 mediated activation to acyl halides","[CX4][CH]([F,Cl,Br,I])[F,Cl,Br,I]"
"a,b-Unsaturated-aldehydes","Mechanistic alert: Polarised alkenes","[$([CH2]),$([CH]C)]=[CH,$(C[CX4])][CH]=O"
"a,b-Unsaturated-ketones","Mechanistic alert: Polarised alkenes","[$([$([CH2]),$([CH]C)]=[CH,$(C[CX4])]C(=O)[#6]);!$([CH]1=CC(=O)C=CC1(=O));!$([CH]1=CC(=O)C(=O)C=C1)] "
"a,b-Unsaturated-esters","Mechanistic alert: Polarised alkenes","[$([CH2]),$([CH]C)]=[CH,$(C[CX4])]C(=O)O[#6]"
"a,b-Unsaturated-amides","Mechanistic alert: Polarised alkenes","[$([CH2]),$([CH]C)]=[CH,$(C[CX4])]C(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Azocarbonamides","Mechanistic alert: Polarised azo compounds","[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)N=NC(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Quinones","Mechanistic alert: Quinones and quinone-type chemicals","[$(C1(=O)[#6]=,:[#6]C(=O)[CH]=C1),$(C1(=O)C(=O)[#6]=,:[#6][CH]=C1)]"
"Quinone-methides","Mechanistic alert: Quinones and quinone-type chemicals","[$(C1=CC(=O)[#6]=,:[#6]C1(=[CH][CX4])),$(C1(=[CH][CX4])C(=O)[#6]=,:[#6]C=C1)]"
"Quinone-imines","Mechanistic alert: Quinones and quinone-type chemicals","[$(C1(=O)[#6]=,:[#6][$(C=[NH]),$(C=N[CX4])][CH]=C1),$(C1(=O)[$(C=[NH]),$(C=N[CX4])][#6]=,:[#6][CH]=C1),$(C1(=O)[$(C=[NH]),$(C=N[CX4])]C=[CH][#6]=,:[#6]1)]"
