# A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity
# S. J. Enoch, C. M. Ellison, T. W. Schultz, M. T. D. Cronin
# Critical Reviews in Toxicology 0 0:0, 1-20
"Acyl-halides","Mechanistic alert: Direct-acylation-involving-a-leaving-group","[CH,$(C(=[O,SX1])[#6])](=[O,SX1])[F,Cl,Br,I]"
"Acetates","Mechanistic alert: Direct-acylation-involving-a-leaving-group","[CH,$(C(=[O,SX1])[#6])](=[O,SX1])[O,SX2,NX3][$([a;r6]),$([a;r5]),$(C([O,SX2,NX3])=C),$(C([O,SX2,NX3])#C)]"
"Anhydrides","Mechanistic alert: Direct-acylation-involving-a-leaving-group","[CH,$(C([O,SX2])(=[O,SX1])[#6])](=[O,SX1])[O,SX2][CH,$(C([O,SX2])(=[O,SX1])[#6])]=[O,SX1]"
"Azlactones","Mechanistic alert: Direct-acylation-involving-a-leaving-group","C1=[O,SX2,NX2,CX3]CC(=[O,SX2])[O,SX2,NX3]1"
"Sulphonyl-halides","Mechanistic alert: Direct-acylation-involving-a-leaving-group","[#6]S(=O)(=O)[F,Cl,Br,I,$(C#N)]"
"Phosphonic-acid-halides","Mechanistic alert: Direct-acylation-involving-a-leaving-group","[#6]OP(=O)(O[#6])[F,Cl,Br,I,$(C#N)]"
"Dialkyl-carbamyl-halides","Mechanistic alert: Direct-acylation-involving-a-leaving-group","[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)[F,Cl,Br,I]"
"b-Lactones","Mechanistic alert: Ring-opening-acylation","C1C(=O)OC1"
"Thio-lactones","Mechanistic alert: Ring-opening-acylation","C1C(=O)SC1"
"a-Lactams","Mechanistic alert: Ring-opening-acylation","C1C(=O)NC1"
"Cyclopropenones","Mechanistic alert: Ring-opening-acylation","[cH,$(c(c)[#6])]1[cH,$(c(c)[#6])]c1=O"
"Isocyanates","Mechanistic alert: Isocyanates-and-related","[NH,$(N(=C=O)[#6])]=C=O"
"Isothiocyanates","Mechanistic alert: Isocyanates-and-related","[NH,$(N(=C=[SX1])[#6])]=C=[SX1]"
"Dithiocarbonamide-acid-esters","Mechanistic alert: Isocyanates-and-related","[#6]N=C(S[#6])S[#6]"
"Carbodiimides","Mechanistic alert: Isocyanates-and-related","[#6]N=C=N[#6]"
"Ketenes","Mechanistic alert: Isocyanates-and-related","[CH2,$([CH](=C=O)[#6]),$(C(=C=O)([#6])[#6])]=C=O"
"Polarised-alkene-aldehydes","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][CH]=O"
"Polarised-alkene-ketones","Mechanistic alert: Polarised-alkenes","[$([$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C(=O)[#6]);!$([CH]1=CC(=O)C=CC1(=O));!$([CH]1=CC(=O)C(=O)C=C1)] "
"Polarised-alkene-esters","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C(=O)O[#6]"
"Polarised-alkene-amides","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Polarised-alkene-nitros","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][N+](=O)[O-]"
"Polarised-alkene-cyano","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C#N"
"Polarised-alkene-sulfonate","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]S(=O)(=O)O[#6]"
"Polarised-alkene-sulfone","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]S(=O)(=O)[#6]"
"Polarised-alkene-sulfinyl","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][SX3](=O)[#6]"
"Polarised-alkene-oximes","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C=[NX2][OH]"
"Polarised-alkene-pyridines","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][$(c1ncccc1),$(c1ccncc1)]"
"Polarised-alkene-pyrazines","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]c1nccnc1"
"Polarised-alkene-pyrimidines","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][$(c1ncncc1),$(c1ncccn1),$(c1cncnc1)]"
"Polarised-akene-triazines","Mechanistic alert: Polarised-alkenes","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][$(c1ncncn1),$(c1nncnc1),$(c1nnccn1),$(c1cnncn1),$(c1nnncc1),$(c1cnnnc1)]"
"Azocarbonamides","Mechanistic alert: Polarised-azo-compounds","[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)N=NC(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Polarised-alkyne-aldehydes","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#C[CH]=O"
"Polarised-alkyne-ketones","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#CC(=O)[#6]"
"Polarised-alkyne-esters","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#CC(=O)O[#6]"
"Polarised-alkyne-amides","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#CC(=O)[$([NH2]),$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Polarised-alkyne-nitros","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#C[N+](=O)[O-]"
"Polarised-alkyne-cyano","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#CC#N"
"Polarised-alkyne-sulfonate","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#CS(=O)(=O)O[#6]"
"Polarised-alkyne-sulfone","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#CS(=O)(=O)[#6]"
"Polarised-alkyne-sulfinyl","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#C[SX3](=O)[#6]"
"Polarised-alkyne-pyridines","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#C[$(c1ncccc1),$(c1ccncc1)]"
"Polarised-alkyne-pyrazine","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#Cc1nccnc1"
"Polarised-alkyne-pyrimidine","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#C[$(c1ncccn1),$(c1cncnc1),$(c1ncncc1)]"
"Polarised-alkyne-triazines","Mechanistic alert: Polarised-alkynes","[CH,$(C(#C)[#6])]#C[$(c1ncncn1),$(c1nncnc1),$(c1nnccn1),$(c1cnncn1)]"
"Quinones","Mechanistic alert: Quinones-and-quinone-type-chemicals","[$(C1(=O)[#6]=,:[#6]C(=O)[CH]=C1),$(C1(=O)C(=O)[#6]=,:[#6][CH]=C1)]"
"Quinone-methides","Mechanistic alert: Quinones-and-quinone-type-chemicals","[$(C1=CC(=O)[#6]=,:[#6]C1(=[CH][CX4])),$(C1(=[CH][CX4])C(=O)[#6]=,:[#6]C=C1)]"
"Quinone-imines","Mechanistic alert: Quinones-and-quinone-type-chemicals","[$(C1(=O)[#6]=,:[#6][$(C=[NH]),$(C=N[CX4])][CH]=C1),$(C1(=O)[$(C=[NH]),$(C=N[CX4])][#6]=,:[#6][CH]=C1),$(C1(=O)[$(C=[NH]),$(C=N[CX4])]C=[CH][#6]=,:[#6]1)]"
"Quinone-diimines","Mechanistic alert: Quinones-and-quinone-type-chemicals","[$([CH]1=C[$(C=[NH]),$(C=N[CX4])][#6]=,:[#6][$(C=[NH]),$(C=N[CX4])]1),$([CH]1=C[$(C=[NH]),$(C=N[CX4])][$(C=[NH]),$(C=N[CX4])][#6]=,:[#6]1)]"
"Pyranones","Mechanistic alert: Quinones-and-quinone-type-chemicals","[$([cH]1cc(=[O,NH])cc[o,n]1),$([cH]1cc(=[O,NH])[o,n]cc1),$(c1cc(=[O,NH])[o,n][cH]c1)]"
"Acid-imides","Mechanistic alert: Acid-imides","O=C1[NH,$(N(C=O)(C=O)[#6])]C(=O)[CH,$(C(C=O)(=C)[#6])]=[CH]1"
"Hydroquinones","Mechanistic alert: Pre-quinones-and-quinone-type-chemicals","[$(c1([OH,$(O[CH3])])c[cH]c([OH,$(O[CH3])])cc1),$(c1([OH,$(O[CH3])])c([OH,$(O[CH3])])cc[cH]c1)]"
"Alkyl-phenols","Mechanistic alert: Pre-quinones-and-quinone-type-chemicals","[$(c1([OH])ccc([CH3,$([CH2][CX4])])cc1),$(c1([OH])c([CH3,$([CH2][CX4])])cccc1)]"
"Aminophenols","Mechanistic alert: Pre-quinones-and-quinone-type-chemicals","[$(c1([OH])c[cH]c([NH2])cc1),$(c1([OH])c([NH2])cc[cH]c1)]"
"Benzenediamines","Mechanistic alert: Pre-quinones-and-quinone-type-chemicals","[$(c1([NH2])c[cH]c([NH2])cc1),$(c1([NH2])c([NH2])cc[cH]c1)]"
"Pre-polarised-alkenes-aldehdyes (allyl alcohols)","Mechanistic alert: Pre-polarised-alkenes","[CH2,$([CH](=C)[#6])]=[CH,$(C(=C)([CH2][OH])[#6])][CH2][OH]"
"Pre-polarised-alkynes-aldehdyes (propargyl alcohols)","Mechanistic alert: Pre-polarised-alkynes","[CH,$(C(#C)[#6])]#C[CH2][OH]"
"Mono-aldehydes","Mechanistic alert: Direct-acting-Schiff-base-formers","[CH2,$([CH](=O)[CX4]),$([CH](=O)c1a(*)caaa1),$([CH](=O)c1a(*)aaa1)]=O"
"Disubstituted-polarised-aldehydes","Mechanistic alert: Direct-acting-Schiff-base-formers","[$(C(=C)([#6])[#6]);!$(C(=C)([#6])C=[CH2,CH])]=C[CH]=O"
"1,2-Dicarbonyl","Mechanistic alert: Direct-acting-Schiff-base-formers","[CH,$(C(=O)(C=O)[CX4]),$(C(=O)(C=O)c1a(*)aaaa1),$(C(=O)(C=O)c1a(*)aaa1)](=O)[CH,$(C(=O)(C=O)[#6]);!$(C(=O)(C=O)C=[CH2,CH]);!$(C(=O)(C=O)C#C)]=O"
"1,3-Dicarbonyl","Mechanistic alert: Direct-acting-Schiff-base-formers","[CH,$(C(=O)([CX4]C=O)[CX4]),$(C(=O)([CX4]C=O)c1a(*)aaaa1),$(C(=O)([CX4]C=O)c1a(*)aaa1)](=O)[CX4][CH,$(C(=O)([CX4]C=O)[#6]);!$(C(=O)([CX4]C=O)C=[CH2,CH]);!$(C(=O)([CX4]C=O)C#C)]=O"
"Ethylenediamines","Mechanistic alert: Pro-Schiff-base-formers-(glyoxal)","[$([NH2,$([NH]([CH2])[CX4])][CH2][CH2][NH2]),$([NH]1[CH2][CH2][NH][CH2][CH2]1)]"
"Ethanolamines","Mechanistic alert: Pro-Schiff-base-formers-(glyoxal)","[$([NH2,$([NH]([CH2])[CX4])][CH2][CH2][OH]),$([NH]1[CH2][CH2]O[CH2][CH2]1)]"
