# A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity
# S. J. Enoch, C. M. Ellison, T. W. Schultz, M. T. D. Cronin
# Critical Reviews in Toxicology 0 0:0, 1-20
"Acyl-halides (Direct-acylation-involving-a-leaving-group)","[CH,$(C(=[O,SX1])[#6])](=[O,SX1])[F,Cl,Br,I]"
"Acetates (Direct-acylation-involving-a-leaving-group)","[CH,$(C(=[O,SX1])[#6])](=[O,SX1])[O,SX2,NX3][$([a;r6]),$([a;r5]),$(C([O,SX2,NX3])=C),$(C([O,SX2,NX3])#C)]"
"Anhydrides (Direct-acylation-involving-a-leaving-group)","[CH,$(C([O,SX2])(=[O,SX1])[#6])](=[O,SX1])[O,SX2][CH,$(C([O,SX2])(=[O,SX1])[#6])]=[O,SX1]"
"Azlactones (Direct-acylation-involving-a-leaving-group)","C1=[O,SX2,NX2,CX3]CC(=[O,SX2])[O,SX2,NX3]1"
"Sulphonyl-halides (Direct-acylation-involving-a-leaving-group)","[#6]S(=O)(=O)[F,Cl,Br,I,$(C#N)]"
"Phosphonic-acid-halides (Direct-acylation-involving-a-leaving-group)","[#6]OP(=O)(O[#6])[F,Cl,Br,I,$(C#N)]"
"Dialkyl-carbamyl-halides (Direct-acylation-involving-a-leaving-group)","[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)[F,Cl,Br,I]"
"b-Lactones (Ring-opening-acylation)","C1C(=O)OC1"
"Thio-lactones (Ring-opening-acylation)","C1C(=O)SC1"
"a-Lactams (Ring-opening-acylation)","C1C(=O)NC1"
"Cyclopropenones (Ring-opening-acylation)","[cH,$(c(c)[#6])]1[cH,$(c(c)[#6])]c1=O"
"Isocyanates (Isocyanates-and-related)","[NH,$(N(=C=O)[#6])]=C=O"
"Isothiocyanates (Isocyanates-and-related)","[NH,$(N(=C=[SX1])[#6])]=C=[SX1]"
"Dithiocarbonamide-acid-esters (Isocyanates-and-related)","[#6]N=C(S[#6])S[#6]"
"Carbodiimides (Isocyanates-and-related)","[#6]N=C=N[#6]"
"Ketenes (Isocyanates-and-related)","[CH2,$([CH](=C=O)[#6]),$(C(=C=O)([#6])[#6])]=C=O"
"Polarised-alkene-aldehydes (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][CH]=O"
"Polarised-alkene-ketones (Polarised-alkenes)","[$([$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C(=O)[#6]);!$([CH]1=CC(=O)C=CC1(=O));!$([CH]1=CC(=O)C(=O)C=C1)] "
"Polarised-alkene-esters (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C(=O)O[#6]"
"Polarised-alkene-amides (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Polarised-alkene-nitros (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][N+](=O)[O-]"
"Polarised-alkene-cyano (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C#N"
"Polarised-alkene-sulfonate (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]S(=O)(=O)O[#6]"
"Polarised-alkene-sulfone (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]S(=O)(=O)[#6]"
"Polarised-alkene-sulfinyl (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][SX3](=O)[#6]"
"Polarised-alkene-oximes (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]C=[NX2][OH]"
"Polarised-alkene-pyridines (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][$(c1ncccc1),$(c1ccncc1)]"
"Polarised-alkene-pyrazines (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])]c1nccnc1"
"Polarised-alkene-pyrimidines (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][$(c1ncncc1),$(c1ncccn1),$(c1cncnc1)]"
"Polarised-akene-triazines (Polarised-alkenes)","[$([CH2]),$([CH][#6])]=[CH,$(C[#6])][$(c1ncncn1),$(c1nncnc1),$(c1nnccn1),$(c1cnncn1),$(c1nnncc1),$(c1cnnnc1)]"
"Azocarbonamides (Polarised-azo-compounds)","[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)N=NC(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Polarised-alkyne-aldehydes (Polarised-alkynes)","[CH,$(C(#C)[#6])]#C[CH]=O"
"Polarised-alkyne-ketones (Polarised-alkynes)","[CH,$(C(#C)[#6])]#CC(=O)[#6]"
"Polarised-alkyne-esters (Polarised-alkynes)","[CH,$(C(#C)[#6])]#CC(=O)O[#6]"
"Polarised-alkyne-amides (Polarised-alkynes)","[CH,$(C(#C)[#6])]#CC(=O)[$([NH2]),$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]"
"Polarised-alkyne-nitros (Polarised-alkynes)","[CH,$(C(#C)[#6])]#C[N+](=O)[O-]"
"Polarised-alkyne-cyano (Polarised-alkynes)","[CH,$(C(#C)[#6])]#CC#N"
"Polarised-alkyne-sulfonate (Polarised-alkynes)","[CH,$(C(#C)[#6])]#CS(=O)(=O)O[#6]"
"Polarised-alkyne-sulfone (Polarised-alkynes)","[CH,$(C(#C)[#6])]#CS(=O)(=O)[#6]"
"Polarised-alkyne-sulfinyl (Polarised-alkynes)","[CH,$(C(#C)[#6])]#C[SX3](=O)[#6]"
"Polarised-alkyne-pyridines (Polarised-alkynes)","[CH,$(C(#C)[#6])]#C[$(c1ncccc1),$(c1ccncc1)]"
"Polarised-alkyne-pyrazine (Polarised-alkynes)","[CH,$(C(#C)[#6])]#Cc1nccnc1"
"Polarised-alkyne-pyrimidine (Polarised-alkynes)","[CH,$(C(#C)[#6])]#C[$(c1ncccn1),$(c1cncnc1),$(c1ncncc1)]"
"Polarised-alkyne-triazines (Polarised-alkynes)","[CH,$(C(#C)[#6])]#C[$(c1ncncn1),$(c1nncnc1),$(c1nnccn1),$(c1cnncn1)]"
"Quinones (Quinones-and-quinone-type-chemicals)","[$(C1(=O)[#6]=,:[#6]C(=O)[CH]=C1),$(C1(=O)C(=O)[#6]=,:[#6][CH]=C1)]"
"Quinone-methides (Quinones-and-quinone-type-chemicals)","[$(C1=CC(=O)[#6]=,:[#6]C1(=[CH][CX4])),$(C1(=[CH][CX4])C(=O)[#6]=,:[#6]C=C1)]"
"Quinone-imines (Quinones-and-quinone-type-chemicals)","[$(C1(=O)[#6]=,:[#6][$(C=[NH]),$(C=N[CX4])][CH]=C1),$(C1(=O)[$(C=[NH]),$(C=N[CX4])][#6]=,:[#6][CH]=C1),$(C1(=O)[$(C=[NH]),$(C=N[CX4])]C=[CH][#6]=,:[#6]1)]"
"Quinone-diimines (Quinones-and-quinone-type-chemicals)","[$([CH]1=C[$(C=[NH]),$(C=N[CX4])][#6]=,:[#6][$(C=[NH]),$(C=N[CX4])]1),$([CH]1=C[$(C=[NH]),$(C=N[CX4])][$(C=[NH]),$(C=N[CX4])][#6]=,:[#6]1)]"
"Pyranones (Quinones-and-quinone-type-chemicals)","[$([cH]1cc(=[O,NH])cc[o,n]1),$([cH]1cc(=[O,NH])[o,n]cc1),$(c1cc(=[O,NH])[o,n][cH]c1)]"
"Acid-imides (Acid-imides)","O=C1[NH,$(N(C=O)(C=O)[#6])]C(=O)[CH,$(C(C=O)(=C)[#6])]=[CH]1"
"Hydroquinones (Pre-quinones-and-quinone-type-chemicals)","[$(c1([OH,$(O[CH3])])c[cH]c([OH,$(O[CH3])])cc1),$(c1([OH,$(O[CH3])])c([OH,$(O[CH3])])cc[cH]c1)]"
"Alkyl-phenols (Pre-quinones-and-quinone-type-chemicals)","[$(c1([OH])ccc([CH3,$([CH2][CX4])])cc1),$(c1([OH])c([CH3,$([CH2][CX4])])cccc1)]"
"Aminophenols (Pre-quinones-and-quinone-type-chemicals)","[$(c1([OH])c[cH]c([NH2])cc1),$(c1([OH])c([NH2])cc[cH]c1)]"
"Benzenediamines (Pre-quinones-and-quinone-type-chemicals)","[$(c1([NH2])c[cH]c([NH2])cc1),$(c1([NH2])c([NH2])cc[cH]c1)]"
"Pre-polarised-alkenes-aldehdyes (allyl alcohols) (Pre-polarised-alkenes)","[CH2,$([CH](=C)[#6])]=[CH,$(C(=C)([CH2][OH])[#6])][CH2][OH]"
"Pre-polarised-alkynes-aldehdyes (propargyl alcohols) (Pre-polarised-alkynes)","[CH,$(C(#C)[#6])]#C[CH2][OH]"
"Mono-aldehydes (Direct-acting-Schiff-base-formers)","[CH2,$([CH](=O)[CX4]),$([CH](=O)c1a(*)caaa1),$([CH](=O)c1a(*)aaa1)]=O"
"Disubstituted-polarised-aldehydes (Direct-acting-Schiff-base-formers)","[$(C(=C)([#6])[#6]);!$(C(=C)([#6])C=[CH2,CH])]=C[CH]=O"
"1,2-Dicarbonyl (Direct-acting-Schiff-base-formers)","[CH,$(C(=O)(C=O)[CX4]),$(C(=O)(C=O)c1a(*)aaaa1),$(C(=O)(C=O)c1a(*)aaa1)](=O)[CH,$(C(=O)(C=O)[#6]);!$(C(=O)(C=O)C=[CH2,CH]);!$(C(=O)(C=O)C#C)]=O"
"1,3-Dicarbonyl (Direct-acting-Schiff-base-formers)","[CH,$(C(=O)([CX4]C=O)[CX4]),$(C(=O)([CX4]C=O)c1a(*)aaaa1),$(C(=O)([CX4]C=O)c1a(*)aaa1)](=O)[CX4][CH,$(C(=O)([CX4]C=O)[#6]);!$(C(=O)([CX4]C=O)C=[CH2,CH]);!$(C(=O)([CX4]C=O)C#C)]=O"
"Ethylenediamines (Pro-Schiff-base-formers-(glyoxal))","[$([NH2,$([NH]([CH2])[CX4])][CH2][CH2][NH2]),$([NH]1[CH2][CH2][NH][CH2][CH2]1)]"
"Ethanolamines (Pro-Schiff-base-formers-(glyoxal))","[$([NH2,$([NH]([CH2])[CX4])][CH2][CH2][OH]),$([NH]1[CH2][CH2]O[CH2][CH2]1)]"
"Pro-disubstituted-polarised-aldehydes (disubstituted allyl alcohols) (Pro-Schiff-base-formers-(mono-aldehydes))","C([#6])([#6])=[CH,$(C(=C)([CH2][OH])[#6])][CH2][OH]"
"Epoxides (Epoxides-and-related)","C1OC1"
"Aziridines (Epoxides-and-related)","C1[NX3]C1"
"Sulfaranes (Epoxides-and-related)","C1[SX2]C1"
"Epoxypropane (Epoxides-and-related)","C1[CH2,CH]OC1"
"Epithiopropane (Epoxides-and-related)","C1[CH2,CH][SX2]C1"
"Lactones (Ring-opening-SN2-reaction)","C1CC(=O)O1"
"Nitrosoureas-(nitrogen) (SN2-reaction-at-a-nitrogen-atom)","[NX3]C(=O)[$([NH](C=O)[NX2]=O),$(N(C=O)([#6])[NX2]=O)]"
