# Structural alerts extracted from ToxTree plugin: Benigni / Bossa rulebase (for mutagenicity and carcinogenicity) (BB_CarcMutRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"Acyl halides","[!$([OH1,SH1])]C(=O)[Br,Cl,F,I]"
"Alkyl ester of sulphonic acid","S([!$([OH1,SH1])])(=O)(=O)O([$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$([CH2]c1ccccc1)])"
"Alkyl ester of phosphonic acid","P(=O)([!$([OH1,SH1])])(O([$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$([CH2]c1ccccc1)]))O([$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$(C([#1,Cl,Br,I,F])(C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F]))C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])C([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])([#1,Cl,Br,I,F])),$([CH2]c1ccccc1)])"
"N-methylol derivatives","[CX4H2](N)([OX2H1])"
"Monohaloalkene","[CX3]([!Cl;!Br;!F;!I;!$(C=O)])(!@[#1,CX4])=[CX3]([Cl,F,Br,I])([#1,CX4])"
"S or N mustard","[F,Cl,Br,I][CX4H2][CX4H2][N,S][CX4H2][CX4H2][F,Cl,Br,I]"
"propiolactones","[O,S]=C1[O,S]CC1"
"propiosultones","O=S1(=O)(CCCO1)"
"epoxides and aziridines","C1[O,N]C1"
"Aliphatic halogens","[$([CX4!H0;R0]);!$(C([#1,C])=[O,C]);!$([CX4H2]([F,Cl,Br,I])[CX4H2][N,S][CX4H2][CX4H2][F,Cl,Br,I]);!$(COP(O)(=O));!$(COS(=O)(=O));!$(CCOP(O)(=O));!$(CCOS(=O)(=O));!$(CCCOP(O)(=O));!$(CCCOS(=O)(=O));!$(CCCCOP(O)(=O));!$(CCCCOS(=O)(=O));!$(CCCCCOP(O)(=O));!$(CCCCCOS(=O)(=O));!$(CCCCCCOP(O)(=O));!$(CCCCCCOS(=O)(=O))][Cl,Br,I]"
"alkyl nitrite","O=[NX2]OC"
"Simple aldehyde","[#6][$([CX3H1]);!$(CC=C)](=O)"
"Quinones2","O=[#6]1[#6]=,:[#6][#6]=,:[#6][#6]1(=O)"
"Quinones1","O=[#6]1[#6]=,:[#6][#6](=O)[#6]=,:[#6]1"
"Hydrazine","[N+0]([#1,*])!@;-[N+0]([#1,*])"
"Hydrazine not N-N=[O,N]","[N+0]!@;-[N+0](=[!O;!N])"
"Aliphatic azo 3","C=[$(N=N);!$(N=N=N);!$(N=NN)]"
"Aliphatic azo 2","[$(C=[N+]=[N-]);!$(C=[N+]=[N-]=N);!$(C=[N+]=[N-]N)]"
"Aliphatic azo 1","[C,#1]N=[NX2][C,#1]"
"Aliphatic azoxy","CN=NO"
"Isocyanate and isothiocyanate groups","[NX2]=C=[O,S]"
"3","[NX3]([CX4,#1])([CX4,#1])C(=[O,S])[O,S][CX4]"
"Alkyl and aryl N-nitroso groups","[C,c]N[NX2;v3]=O"
"Triazene","[N]=[N]=[N]"
"Azide","[N]=[N]-[N]"
"Aliphatic N-nitro","[C!r][NH1]N(=O)O"
"Aliphatic N-nitro1","[C!r]N(A)N(=O)O"
"α,β unsaturated alkoxy","[!$([#6](=O)[!O]),#1][C!H0;!R]([!$([#6](=O)[!O]),#1])!@;=[C!H0;!R]O[#6]"
"Aromatic nitroso group","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX2]=O)]"
"1","[n+]!@[O-]"
"Nitro aromatic","[a;!$(a(a[A;!#1;!H])(a[A;!#1;!H]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaaa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaaaa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([OX2H1]))]([$([N+]([O-])=O),$([N](=O)=O)])"
"new 2","aN=[CH2]"
