# Structural alerts extracted from ToxTree plugin: START Biodegradability (BiodgeradationRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"1","[$([C]([CH3])([CH3])([CH3])([*]))]"
"1","[$(C1OC1)]"
"1","[!R&!#1,CX4&H0,a]"
"2","[$([CH3][CH]([*])[CH3])]"
"1","[R]"
"1","[!R,a]"
"2","[#6][F,Cl,Br,I]"
"1","[$([C][C;!R]([C])[C])]"
"1","[$([C][C]([C])[C])]"
"1","[$([a&R][OX2H])]"
"2","[$([N&H2][C&H1]([N&H2])[*])]"
"2","[$([C&H2]=[C])]"
"1","[$([*]~C([!#1])~[*])]"
"1","[N]#[C]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]"
"1","[$(NN=O)]"
"1","[$([a][F,Cl,I])]"
"2","[$([a]N([#1])[*])]"
"1","[$([a]N(~O)~O)]"
"1","[$([#16X4](=[OX1])(=[OX1])([a])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([a])[OX2H,OX1H0-])]"
"1","[!$(C=O);$([C&!a])][OX2&H0][!$(C=O);$([C&!a])]"
"1","[!R&NX3&H0]"
"1","[$([!R&N]=[!R&N])]"
"1","[$([*]C(F)(F)F)]"
"1","[$(n1nnccc1),$(n1ncncc1),$(n1cncnc1)]"
"1","[$(n1ccccc1)]"
"1","[C][C](=O)[C]"
"1","[C]#[N]"
"1","[CX3H1](=O)[#6]"
"1","[#6][OX2H]"
"1","[#6][CX3](=O)[$([OX2H0]([#6])[#6])]"
"1","[$(P(=[OX1])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)]),$([P+]([OX1-])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)])]"
"2","[$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[OX2H,OX1-,N])]"
"1","[NX3,NX4+][CX4H]([*])[CX3](=[OX1])[O,N]"
"2","[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]"
"1","a"
"1","[CX3H2](=O)"
