# Structural alerts extracted from ToxTree plugin: Eye irritation and corrosion (EyeIrritationRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"1","[C][OX2][CH2]C(O)[CH2][OH]"
"Derivatives of 2-halogen benzoic acids and corresponding alkali salts","c1([Cl,F,Br,#1,C])c([Cl,F,Br,#1,C])c([Cl,F,Br,#1,C])c([Cl,F,Br,#1,C])c([Cl,F,Br])c1C(=O)[OH]"
"4","c1([F,Cl,Br])([cH][cH]c([OX2][CH]([C])[CX3](=O)[OX2H1])[cH]c1([#1,F,Cl,Br]))"
"3","c1([F,Cl,Br])([cH][cH]c([OX2][CH]([C])[CX3](=O)[OX2H1])c([#1,F,Cl,Br])[cH]1)"
"2","c1([F,Cl,Br])([cH]c([#1,F,Cl,Br])c([OX2][CH]([C])[CX3](=O)[OX2H1])[cH][cH]1)"
"1","c1([F,Cl,Br])(c([#1,F,Cl,Br])[cH]c([OX2][CH]([C])[CX3](=O)[OX2H1])[cH][cH]1)"
"1","ClC(=O)([OX2][C])"
"1","CC(Cl)([#1,C])C([#1,C])([#1,C])[CH2][OH]"
"1","[*]c1[cH][cH][c]([cH][cH]1)[I+]c2[cH][cH]c([cH][cH]2)[C]"
"1","c1([cH][cH][cH][cH][cH]1)[CH]N([#1,C])"
"1","[#1,C]C1[CH2][CH2]C(=O)N1([#1,C])"
"3","c21[cH][cH]c([#1,OH])c([#1,OH])c1[$(n([#6][CX3](=O)[C])),$([nH1])]c[cH]2"
"2","c21[cH]c([#1,OH])[cH]c([#1,OH])c1[$(n([#6][CX3](=O)[C])),$([nH1])]c[cH]2"
"1","c21c([#1,OH])[cH]c([#1,OH])[cH]c1[$(n([#6][CX3](=O)[C])),$([nH1])]c[cH]2"
"3","C([#1,NH2,C])1=C([#1,NH2,C])C([#1,NH2,C])=NN1"
"2","c1([#1,NH2,C])nn(C(*)(*)(*))c([#1,NH2,C])c1([#1,NH2,C])"
"1","c1([#1,NH2,C])nnc([#1,NH2,C])c1([#1,NH2,C])"
"6","c([F,Cl,Br,I,#16])cc([F,Cl,Br,I,#16])cc[$([NH3+]),$([N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C]))]"
"5","c([F,Cl,Br,I,#16])c([F,Cl,Br,I,#16])cc[$([NH3+]),$([N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C]))]"
"4","c([F,Cl,Br,I,#16])c([F,Cl,Br,I,#16])c[$([NH3+]),$([N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C]))]"
"3","c([F,Cl,Br,I,#16])c[$([NH3+]),$([N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C]))]ccc([F,Cl,Br,I,#16])"
"2","c([F,Cl,Br,I,#16])c[$([NH3+]),$([N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C]))]cc([F,Cl,Br,I,#16])"
"1","c([F,Cl,Br,I,#16])c[$([NH3+]),$([N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C])),$(C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])C([F,Cl,Br,I,#16])([F,Cl,Br,I,#16])[N+]([F,Cl,Br,I,#16])([#1,C])([#1,C]))]c([F,Cl,Br,I,#16])"
"1","[#6]S([OX2H])(=O)=O"
"4","c21[cH][cH][cH][cH]c1SC([#1,C])N2([#1,C])"
"3","c21[cH][cH][cH][cH]c1sc([#1,C])n2"
"2","N1([#1,C])c([#1,C])SC([*])C1([*])"
"1","n1c([#1,C])sc([*])c1([*])"
"2","c21C(N([C])[#16]c1[cH][cH][cH][cH]2)=O"
"1","C=1([C])C(N(SC=1([C]))C)=O"
"1","c1([cH][cH][cH][cH][cH]1)[P+](c2[cH][cH][cH][cH][cH]2)(c3[cH][cH][cH][cH][cH]3)[CH2]"
"1","P([#6])([#1,CH2])(=O)([OH])"
