# Structural alerts extracted from ToxTree plugin: Structural Alerts for Functional Group Identification (ISSFUNC) (FuncRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"FG1","[+,+2,+3,+4,+5,+6,+7]"
"FG2","[-,-2,-3,-4,-5,-6,-7]"
"FG3_LS","[$([CX3]([#6])),$([CX3H])](=O)[#6]"
"FG3_1","[CX3H1](=O)[#6]"
"FG3_2","[#6][CX3](=O)[#6]"
"FG4_LS","[$([CX3]([#6])),$([CX3H])](=[SX1])[#6]"
"FG4_1","[CX3H1](=[SX1])[#6]"
"FG4_2","[#6][CX3](=[SX1])[#6]"
"FG5","[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]=[$([NX2][#6]),$([NX2H])]"
"FG6","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])][NX2]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG7","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=O)[$([NX3][#6]),$([NX3H])][NX2]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG8","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=[SX1])[$([NX3][#6]),$([NX3H])][NX2]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG9","[OH][NX2]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG10","[#6]O[NX2]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG11","O=C=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG12","[C;H0&!$(C([#6])([#6]))]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG13","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([OH1])([OH1])"
"FG14","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([OH1])([O][#6])"
"FG15","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([O][#6])([O][#6])"
"FG16","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([$([OX2H1]),$([OX2][#6])])[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG17","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG18","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([$([SX2H1]),$([SX2][#6])])[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG19","[$([CX4]([#6])[#6]),$([CX4H][#6]),$([CX4H2])]([SX2;$(SC),$(Sc)])([SX2;$(SC),$(Sc)])"
"FG20","[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2]),$([CX3](C=O)C=O),$([CX3H]C=O),$([CX3]([#6])C=O)]=[CX3;$(C(C=O)),$([C][#6]),$([CX3H1])]([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2]),$([NX3](C=O)C=O),$([NX3H]C=O),$([NX3]([#6])C=O)])"
"FG21","[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2]),$([CX3](C=O)C=O),$([CX3H]C=O),$([CX3]([#6])C=O)]=[CX3;$(C(C=O)),$([C][#6]),$([CX3H1])]([OH1])"
"FG22","[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2]),$([CX3](C=O)C=O),$([CX3H]C=O),$([CX3]([#6])C=O)]=[CX3;$(C(C=O)),$([C][#6]),$([CX3H1])]([O][#6])"
"FG23_LS","[#6;!$(C=O)&!$(CN)&!$(CS)&!$(CP)][OX2H]"
"FG23_1","[#6][C;H2][OX2H]"
"FG23_2","[#6][C;$([CX4H][#6])][OX2H]"
"FG23_3","[#6][C;$([CX4H0]([#6])[#6])][OX2H]"
"FG23_4","[$([CX4]([#6])([OX2H])[#6]),$([CX4H]([OX2H])[#6]),$([CX4H2]([OX2H]))]-[$([CX4]([#6])([OX2H])[#6]),$([CX4H]([OX2H])[#6]),$([CX4H2]([OX2H]))]"
"FG23_5","[$([CX4]([#6])([OX2H])[#6]),$([CX4H]([OX2H])[#6]),$([CX4H2]([OX2H]))]-[$([CX4]([#6])([NX3H2])[#6]),$([CX4H]([NX3H2])[#6]),$([CX4H2]([NX3H2]))]"
"FG23_6","[OX2H][cX3]:[c]"
"FG23_7","[OX2H][cX3]1[cX3]([OX2H])cccc1"
"FG23_8","[$([CX3]([#6])([OX2H])),$([CX3H]([OX2H]))]=[$([CX3]([#6])([OX2H])),$([CX3H]([OX2H]))]"
"FG24_LS","[#6][OX2][#6]"
"FG23_1","[OD2](C)C"
"FG24_2","[OD2](C)c"
"FG24_3","[OD2](c)c"
"FG25","[SX2]([#6])[#6]"
"FG26","[#6]-[SX2]-[SX2]-[#6]"
"FG27","[#6]-[OX2]-[OX2]-[#6]"
"FG28","[#6]-[OX2]-[OX2H1]"
"FG29","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2]),$([NX3](C=O)C=O),$([NX3H]C=O),$([NX3]([#6])C=O)]-[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2]),$([NX3](C=O)C=O),$([NX3H]C=O),$([NX3]([#6])C=O)]"
"FG30","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]-[$([OX2][#6]),$([OX2H1])]"
"FG31_LS","[#6][$([NX4;!$(N~N)&!$(N~O)]),$([NX3;!$(N~N)&!$(N~O)])]"
"FG31_1","[$([NX3H2])]C"
"FG31_2","[$([NX3H2])]c"
"FG31_3","[$([NX3H1])](C)C"
"FG31_4","[$([NX3H1])](c)C"
"FG31_5","c[$([NX3H1])]c"
"FG31_6","C[$([NX3H0])](C)C"
"FG31_7","C[$([NX3H0])]([#6])c"
"FG31_8","c[$([NX3H0])](c)c"
"FG31_9","[#6][$([NX4;+1])]([#6])([#6])[#6]"
"FG32","[$([#7+][OX1-]),$([#7v5]=[OX1]);!$([#7](~[O])~[O]);!$([#7]=[#7])]"
"FG33_LS","[CX4,cX3][I,Br,Cl,F]"
"FG33_1","[CX4][F]"
"FG33_2","[CX4][Cl]"
"FG33_3","[CX4][Br]"
"FG33_4","[CX4][I]"
"FG33_5","[cX3][F]"
"FG33_6","[cX3][Cl]"
"FG33_7","[cX3][Br]"
"FG33_8","[cX3][I]"
"FG34_LS","[#6][Li,Mg,Na,K,Ca,Cs,Ba,Zn]"
"FG34_1","[#6][Li]"
"FG34_2","[#6][Mg]"
"FG35_LS","[C;$(C([#6,H]))&!$([CH2])&!$(C([#6])([#6]))&!$([CH]([#6]))](=[OX1])"
"FG35_1","[C;H1,$(C[#6])](=[OX1])[OH]"
"FG35_2","[C;H1,$(C[#6])](=[OX1])[O-]"
"FG35_3","[C;H1,$(C[#6])](=[OX1])[O][#6]"
"FG35_4","[C;R](=[OX1])[O;R]"
"FG35_5","[C;H1,$(C[#6])](=[OX1])[NH2]"
"FG35_6","[C;H1,$(C[#6])](=[OX1])[NH1][#6]"
"FG35_7","[C;H1,$(C[#6])](=[OX1])[NH0]([#6])[#6]"
"FG35_8","[C;R](=[OX1])[N;R&H1,$(N([#6]))]"
"FG35_9","[C;H1,$(C[#6])](=[OX1])[N;H1,$(N[#6])][$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG35_10","[C;H1,$(C[#6])](=[OX1])[$([NX2-]-[NX2+]#[NX1]),$([NX2]=[NX2+]=[NX1-])]"
"FG35_11","[C;H1,$(C[#6])](=[OX1])[NH1][OH]"
"FG35_12","[N;H1,$(N([#6]))]=[C;H1,$(C([#6]))][$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG35_13","[N;H1,$(N([#6]))]=[C;H1,$(C([#6]))][N;H1,$(N([#6]))][$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG36","[NX1]#[CX2;H1,$(C([#6]))]"
"FG37_LS","[C;H1,$(C[#6])](=[OX1])[F,Cl,Br,I]"
"FG37_1","[C;H1,$(C[#6])](=[OX1])[F]"
"FG37_2","[C;H1,$(C[#6])](=[OX1])[Cl]"
"FG37_3","[C;H1,$(C[#6])](=[OX1])[Br]"
"FG37_4","[C;H1,$(C[#6])](=[OX1])[I]"
"FG38","[C;H1,$(C[#6])](=[OX1])C#N"
"FG39","[N;H1,$(N([#6]))]=[C;H1,$(C([#6]))][O][#6]"
"FG40","[N;H1,$(N([#6]))]=[C;H1,$(C([#6]))][F,Cl,Br,I]"
"FG41_LS","[C;$(C([#6,H]))&!$([CH2])&!$(C([#6])([#6]))&!$([CH]([#6]))](=[SX1])"
"FG41_1","[C;H1,$(C[#6])](=[SX1])[OH,$([SH1])]"
"FG41_2","[C;H1,$(C[#6])](=[SX1])[O,S][#6]"
"FG41_3","[C;R](=[SX1])[O,S;R]"
"FG41_4","[C;H1,$(C[#6])](=[SX1])[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG41_5","[C;R](=[SX1])[N;R&H1,$(N([#6]))]"
"FG42","[$([NX2]([#6])),$([NX2H])]=[$([CX3]([#6])),$([CX3H])]S[#6]"
"FG43","[n;H,$(n([#6]))]1c(=O)cccc1"
"FG44","[n;H,$(n([#6]))]1c(=S)cccc1"
"FG45","[n;H,$(n([#6]))]1c(=[N;H,$(N([#6]))])cccc1"
"FG46_LS","[$([CX4;H1&!$(C([#6]))&!$(C([#6])([#6]))&!$(C([#6])([#6])([#6]))]),$([CX4H0;$(C([#6]))&!$(C([#6])([#6]))&!$(C([#6])([#6])([#6]))&!$(C([#6])([#6])([#6])([#6]))])]"
"FG46_1","[$([CX4]([#6])),$([CX4H])]([O][#6])([O][#6])([O][#6])"
