# Structural alerts extracted from ToxTree plugin: Skin irritation / skin corrosion (SicretRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"1","[CX4][CX2]#[CX2]"
"2","[$([AR0][CX3](=O)[OX2H1])]"
"1","[$([FX1,ClX1,BrX1,IX1][CX4])&!$([CX3]=[CX3])&!$([CX2]#C)]"
"1","[$([CX3H][#6]),$([CX3H2])]=[OX1]"
"1","[OX2H][cX3]:[c]"
"1","[CX3]=[CX2]=[OX1]"
"1","[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])]"
"Epoxides","[OX2r3]1[#6r3][#6r3]1"
"1","[CX3](=[CX3])[CX3](=[OX1])[OX2]C"
"1","[#6][CX3](=[OX1])[#6]"
"1","[$([$([OD2]([#6])[#6]);R0]),$([CX4;$([H1]),$(C[#6])][NX3;H2,H1;!$(NC=O);$([AR0])]),$([CX4;$([H1]),$(C[#6])][NX3][CX3](=[OX1])[#6])]"
"1","[OX2H][OX2]"
"1","[OX2H][CX4][CX4][NX3;H2,H1;!$(NC=O)]"
"1","[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])])]"
"1","[CX3](=[OX1])[NX3H][CX3](=[OX1])"
"2","[#6](Cl)[CX3;!R](=[SX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
"1","[CX3;$([R0][#6]Cl)](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
"1","[ClX1,BrX1]Cc1ccccc1"
"4","[$([FX1,ClX1,BrX1,IX1][CX4]);$([!c]);$([R0])]"
"3","[$([FX1,ClX1,BrX1,IX1][CX3]=[CX3]);$([!c]);$([!R])]"
