# Structural alerts extracted from ToxTree plugin: Skin Sensitisation Alerts (SkinSensitisationPlugin)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"6","c1([F,Cl,Br,I,$(N(=O)~O)])ncncc1"
"5","c1([F,Cl,Br,I,$(N(=O)~O)])ncccn1"
"4","c1([F,Cl,Br,I,$(N(=O)~O)])ncccc1([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])"
"3","c1([F,Cl,Br,I,$(N(=O)~O)])ncc([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc1"
"2","c1([F,Cl,Br,I,$(N(=O)~O)])c([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cccc1([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])"
"1","c1([F,Cl,Br,I,$(N(=O)~O)])c([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc1"
"8","c1nc([F,Cl,Br,I,$(N(=O)~O)])ncn1"
"7","c1([F,Cl,Br,I,$(N(=O)~O)])ncc([F,Cl,Br,I,$(N(=O)~O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])nc1"
"9","[#6]C(=[O,SX2])C(=[O,SX2])[#6]"
"8","[C;!r5]([C;!r5])=[C;!r5](C)[C;!r5]=[O,SX2;!r5]"
"7","C(C)(C)=CC=[O,SX2]"
"6","[a][CH]=O"
"5","[CX4][CH]=[O,SX2]"
"4","CC=C(C)[CH2][OH]"
"12","[CH2][NH2]"
"3","CC(C)=[CH][CH2][OH]"
"11","[#6][$([NX2]=O),$(N=C=O),$(OC#N),$(SC#N),$(N=C=S)]"
"2","[CH2]N([CH3])[CH3]"
"10","[#6]C(=[O,SX2])[CX4]C(=[O,SX2])[#6]"
"1","[CH2]=O"
"19","I[CH2,CH]C(I)[$(N(=O)~O),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]"
"18","Br[CH2,CH]C(Br)[$(N(=O)~O),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]"
