# Structural alerts extracted from ToxTree plugin: Verhaar scheme (VerhaarScheme)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"linear ethers or monocyclic mono ethers, but not epoxides or peroxides","[$([#6]);!$(C=O)]-[$([O;!R]),$([O;R;!r3])]-[$([#6]);!$(C=O)]"
"Be aliphatic alcohols but not allylic/propargylic alcohols","[OH1]C[!$(C=C);!$(C#C)]"
"Be alcohols with aromatic moieties, but NOT phenols or benzylic alcohols","c[OH1]"
"3","(C[OH1].a)"
"2","cC[OH1]"
"Be ketones, but not alpha-, beta unsaturated ketones (e.g. 1-butenone or acetophenone)","O=C([C;!$(C=C)])([C;!$(C=C)])"
"Halogen","[Cl,Br,I,F][!$(C=*);!$(CC=*)]"
"Primary amine","A[NX3;H2]"
"[*]C#CC([*])X & X=ketone","C#C[C;v4;H1]C(C)=O"
"[*]C#CC([*])X & X=aldehyde & ","CC#C[C;v4;H1](C)[CH1]=O"
"[*]C=CC(X)[*] & X=aldehyde","C=;!:CC([CH1]=O)"
"[*]C#CC([*])X & X=hydroxyl","C#C[C;v4;H1]O[H]"
"[*]C=CC(X)[*] & X=hydroxyl","C=;!:CC(O[H])"
"[*]C#CC([*])X & X=halogen","C#C[C;v4;H1][Cl,Br,I]"
"[*]C=CC(X)[*] & X=ketone","C=;!:CC(C(C)=O)"
"[*]C=CC(X)[*] & X=halogen","C=;!:CC([Cl,Br,I])"
"[*]C#CC([*])X & X=cyano","C#C[C;v4;H1]C#N"
"[*]C=CC(X)[*] & X=cyano","C=;!:CC(C#N)"
"c1ccc(cc1)C([*])X & X=ketone","a[$([CX4H1]),$([CX4][C,N,O,S,Cl,Br])]C(C)=O"
"c1ccc(cc1)C([*])X & X=hydroxyl","a[$([CX4H1]),$([CX4][C,N,O,S,Cl,Br])][OH1]"
"c1ccc(cc1)C([*])X & X=aldehyde","a[$([CX4H1]),$([CX4][C,N,O,S,Cl,Br])][CH1]=O"
"c1ccc(cc1)C([*])X & X=cyano","a[$([CX4H1]),$([CX4][C,N,O,S,Cl,Br])]C#N"
"c1ccc(cc1)C([*])X & X=Cl","a[$([CX4H1]),$([CX4][C,N,O,S,Cl,Br,I])][Cl,Br,I]"
"A=,#AC(C)X & X=cyano","A=,#AC([C;!R])[C;!R]#N"
"A=,#AC(C)X & X=hydroxyl","A=,#AC([C;!R])[OH1;!R]"
"A=,#AC(C)X & X=ketone","A=,#AC([C;!R])[C;!R]C(O)=O"
"A=,#AC(C)X & X=halogen","A=,#AC([C;!R])[Cl,Br,I]"
"A=,#AC(C)X & X=aldehyde","A=,#AC([C;!R])[C;!R][CH1]=O"
"aziridine","C1NC1"
"3-membered heterocyclic ring","[r3;!$([#6])]"
"epoxide","C1OC1"
"nitrile","[C!R]=,#[C!R]C#N"
"amide","[C!R]=,#[C!R]C(=O)[N!R]([C!R])[C!R]"
"ketone","[C!R]=,#[C!R]C(=O)"
"carbonyl","[C!R]=,#[C!R]C(=O)O"
"sulphone","[C!R]=,#[C!R]S(=O)(=O)"
"nitro(charged)","[C!R]=,#[C!R]([N+](=O)[O-])"
"nitro","[C!R]=,#[C!R](N(=O)=O)"
"X","O=C1C=CC(=O)C=C1"
"double N-N linkage","[NH0;X2]=[NH0;X2]"
"hydrazine","[NH1;X3][NH1;X3]"
"N#N","[NX3]N#N"
"allylic/propargylic nitriles","[CX2]#CC#N"
"cyanohydrins","[OH1][CX4]C#N"
"sulphiric esters","[O;H1]S(=O)(=O)[OX2H]"
"isocyanates","N=C=O"
"cyclic sulphuric esters","[O;R][S;R]([O;R])(=O)(=O)"
"thiocyanates","SC#N"
"isothiocyanates","N=C=S"
"beta haloethers","[O;!R]CC([Cl,Br,F,I])[!$([Cl,Br,F,I])]"
"aldehyde","[CX3H2](=O)"
"nitrogen mustards","[N;!R][C;!R][C;!R]([Cl,F,Br,I])"
"acid halides","C(=O)Cl"
"carbamohalides","NC(=O)Cl"
"sulphur mustards","[S;!R][C;!R][C;!R]([Cl,F,Br,I])"
"lactones","[C;R][O;R][C;R](=O)[O;R]"
"acid anhydrides","C(=O)OC(=O)"
"disulphides","[S;X2][S;X2]"
"alpha haloethers","[O;!R]C([Cl,Br,F,I])[!$([Cl,Br,F,I])]"
"ketenes","C=C=O"
"cyclic sulphonic esters","[C;R][S;R]([O;R])(=O)(=O)"
"aldehydes","[CX3H1](=O)"
"sulphonic esters","S(=O)(=O)[OX2H0]"
"DDT and analogues2","Claa-aaCl"
"organophosphorothionate esters","P(O)(O)(O)(=S)"
"DDT and analogues","c1ccc(cc1)C(c2ccccc2)=,-C(Cl)Cl"
"DDT and analogues1","[R](Cl)[R][R](Cl)[R][R](Cl)"
"monothiocarbamates","[NX3]C(=O)S"
"dithiocarbamates","[NX3]C(=S)S"
"organophosphate1","P(O)(C)(S)(=S)"
"carbamates","OC(=O)[NX3]"
"triphenyl phosphate","O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3"
"organophosphorothionate","P(O)(O)(S)(=S)"
"pyrethroids","O=C(O)C1C(C=C)C1(C)(C)"
"organotin","C[Sn]"
