# Converted from OpenBabel file 'patterns.txt' for CheS-Mapper
# Copyright (c) 2005 Chris Morley
# Functional groups for molecular fingerprinting based on Checkmol: http://merian.pch.univie.ac.at/~nhaider/cheminf/fgtable.pdf             
"1 cation","[+]"
"2 anion","[-]"
"3 aldehyde or ketone","[#6][CX3](=O)"
"4 aldehyde","[CX3H1](=O)[#6]"
"5 ketone","[#6][CX3](=O)[#6]"
"6 thioaldehyde or thioketone","[#6][CX3](=S)"
"7 thioaldehyde","[CX3H1](=S)"
"8 thioketone","[#6]C(=[S])[#6]"
"9 imine","[CX3]=N([#6,#1])[#6,#1]"
"10 hydrazone","[#6,#1]C([#6,#1])=[N][N]([#6,#1])[#6,#1]"
"11 semicarbazone","[#6,#1]C([#6,#1])=[N][N]([#6,#1])C(=[O])[N]([#6,#1])[#6,#1]"
"12 thiosemicarbazone","[#6,#1]C([#6,#1])=[N][N]([#6,#1])C(=[S])[N]([#6,#1])[#6,#1]"
"13 oxime","[#6,#1]C([#6,#1])=[N][OH]"
"14 oxime ether","[#6,#1]C([#6,#1])=[N][O][#6]"
"15 ketene","[CX3]=C=O"
"16 keten acetyl derivative***","[CX3]=C=O"
"17 carbonyl hydrate","[#6,#1]C([#6,#1])([OH])([OH])"
"18 hemiacetal","[#6,#1]C([#6,#1])([OH])(O[#6])"
"19 acetal","[#6,#1]C([#6,#1])(O[#6])(O[#6])"
"20 hemiaminal","[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6])"
"21 aminal","[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(N([#6,#1])[#6,#1])"
"22 thiohemiaminal","[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6])"
"23 thioacetal","[#6,#1]C([#6,#1])([S][#6])([S][#6])"
"24 enamine","[#6,#1]C([#6,#1])=C([#6,#1])N([#6,#1])[#6,#1]"
"25 enol","[#6,#1]C([#6,#1])=C([#6,#1])[OH]"
"26 enol ether","[#6,#1]C([#6,#1])=C([#6,#1])O[#6]"
"27 hydroxy compound","[#6][OH]"
"28 alcohol","C[OH]"
"29 primary alcohol   ","[#6][CH2][OH]"
"30 secondary alcohol   ","[#6][CH]([#6])[OH]"
"31 tertiary alcohol   ","[#6][C]([#6])([#6])[OH]"
"32 1,2-diol","[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[OH]"
"33 1,2-aminoalcohol","[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[NH2]"
"34 phenol","c[OH]"
"35 1,2-diphenol","[OH]cc[OH]"
"36 enediol","[OH]C=C[OH]"
"37 ether","[#6]O[#6]"
"38 dialkyl ether","COC"
"39 alkylaryl ether","cOC"
"40 diaryl ether","cOc"
"41 thioether","[#6]S[#6]"
"42 disulfide","[#6]SS[#6]"
"43 peroxide","[#6]OO[#6]"
"44 hydroperoxide","[#6]O[OH]"
"200 aryl","[a]"
"201 heteroatom","[!#6;$([N,O,S,F,Cl,Br,I,P])]"
"202 HBA","[!#6;!$([+0]);!$([F,Cl,Br,I]);!$([o,s,nX3]);!$([Nv5,Pv5,Sv4,Sv6])]"
"203 HBD","[$([N,O;!H0]),$(N(C)(C)C)]"
"204 Ring","[R]"
"205 carboxylic acid","[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C[$([O;$([H1&-0,H0&-1])])]);$(C[#6,#1])])]"
"206 ester","[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)O[#6]);$(C[#6,#1])])]"
"207 nitro","[$([N;+0,+1;$(N(=O)~[O;H0;-0,-1])])]"
"208 nitrile","[$([C;$(C#[N;D1])])]"
"209 aniline","[$([N;!$(N*=[!#6])]);$(N[$([a])]);!$(N~[!#6])]"
"210 urea","[$([N;$(N[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)(N)N)])])])]"
